threads,mean_estimate,ci_estimate,mean_duration,ci_duration,target
1,3.140430996298634,0.0028023913951327924,0.6853106,0.019139569955119604,π
2,3.1408439410199422,0.0037153346767694402,0.7232674,0.03354720347599228,π
4,3.141074590228596,0.0012364126559309655,0.7083191,0.0390357791888072,π
8,Inf,NaN,0.7144164000000001,0.05097767632028647,π
16,3.1415120963218883,0.002169007798266018,0.7826340999999999,0.08973033673040166,π
32,3.1409670574578543,0.0030382989674464,0.8084327,0.0504088597833253,π
64,3.1410184632271756,0.0012049582364962502,0.7760667,0.026906127175252495,π
128,3.1421784576929075,0.0022816975864333937,0.7837158000000001,0.03854364237654671,π
256,3.1411316077988602,0.0027880365300340946,0.7713573,0.0288736236849377,π
512,3.141844767166264,0.0033896793284033354,0.7835384999999999,0.048501373378545334,π
1024,3.1421316773321886,0.002781174218815734,0.7834939,0.034171141425469655,π
2048,3.141573030532915,0.002267856163001063,0.7877415000000001,0.05255878357318654,π
