threads,processes,griddim,blocos,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
0,0,4,4,4.178187866666667,4.400245133333334,0.05481429762987441,0.12234670100600042
0,0,4,8,1.5830303333333335,1.7894418666666665,0.04659365705030101,0.11044281512641925
0,0,4,16,1.6010461999999999,1.8249636,0.017566187825733836,0.03500130992703903
0,0,4,32,1.507167733333333,1.7064032,0.08786271300254801,0.12536338128859545
0,0,8,4,3.0146514666666673,3.256278066666666,0.010670261726894281,0.04087680152622649
0,0,8,8,1.4774950666666664,1.7057438666666664,0.036793682691485356,0.1044425964088773
0,0,8,16,1.4474616666666664,1.680401733333333,0.03405303942519469,0.045809759989767565
0,0,8,32,1.3824638,1.6195398666666665,0.07281607519702336,0.07062037328587008
0,0,16,4,2.8331526666666664,3.0563028666666674,0.0711978611794671,0.07249897767789287
0,0,16,8,1.4391766000000001,1.6756584666666667,0.029902724593251422,0.05054920618439455
0,0,16,16,1.4060138666666664,1.640119733333333,0.020394114225482454,0.0361387892732907
0,0,16,32,1.383506,1.622153533333333,0.11209493693089982,0.12777224717863742
0,0,32,4,2.751490266666666,2.9766030666666667,0.39001783797643536,0.42639905223333885
0,0,32,8,1.6728789333333332,1.9225914666666666,0.17579900352794292,0.18545434526690935
0,0,32,16,1.521808466666667,1.7612476666666668,0.35285010790461435,0.3805776881171899
0,0,32,32,1.4558551333333334,1.6988256666666666,0.2676663608629288,0.2702782386022157
