threads,processes,griddim,blocos,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,2,0,0,24.338055066666662,25.176854933333335,0.7418368744970653,0.7388608471957809
2,2,0,0,14.603842866666668,15.444345733333334,0.223045125987998,0.22349188091741323
4,2,0,0,24.153864199999997,24.994903733333334,0.29160494322780917,0.2932681317797375
8,2,0,0,12.683320333333333,13.52454793333333,0.30322965226685805,0.3019021869634417
16,2,0,0,12.307861466666669,13.150347799999999,0.09374674705541763,0.0987218619461084
32,2,0,0,12.064870733333331,12.90726953333333,0.24018950353757293,0.24389879173866938
1,4,0,0,9.984892,10.873909533333334,0.3543839839815519,0.3568968992065336
2,4,0,0,13.295369,14.179721133333336,0.30416284214933753,0.3045335826118024
4,4,0,0,20.00517473333333,20.892171599999998,0.3692312699294338,0.3748823516148246
8,4,0,0,10.298060733333331,11.184772866666666,0.43473477538131017,0.44902555055271254
16,4,0,0,10.527410800000002,11.410253800000001,0.23923806732059877,0.2400942933026956
32,4,0,0,10.847904999999999,11.730817533333331,0.3547208862649912,0.3529622389307805
1,8,0,0,34.01424086666667,35.687896333333335,3.546919966720549,3.5472739475547237
2,8,0,0,41.79987919999999,43.48257506666666,2.8896340118093256,2.925492267993857
4,8,0,0,53.751944333333334,55.48121446666668,1.9781097166507402,1.936462802847061
8,8,0,0,41.66721200000001,43.246688,1.5447551836667377,1.4893767692092361
16,8,0,0,39.579418133333334,41.27938266666667,2.5472610638455473,2.6274818960270077
32,8,0,0,38.32576026666666,39.97862333333333,2.130591773636779,2.0126707283004244
1,16,0,0,87.71505606666666,90.9670922,7.9366028402790825,7.9095853942479515
2,16,0,0,94.03964033333334,97.31445640000001,2.9298007113482334,2.9394037543567837
4,16,0,0,100.02551700000001,103.13425933333332,4.113973921119645,4.169965536658215
8,16,0,0,90.8092884,94.04745253333331,4.568894328972634,4.50132105011363
16,16,0,0,85.61053426666669,88.87051706666668,6.993785436368741,6.96376110806344
32,16,0,0,87.49993046666667,90.77464166666668,6.781772299938956,6.851288238396218
1,32,0,0,120.84620126666667,127.31583940000002,4.201632276851047,4.222320572319537
2,32,0,0,126.57719893333335,133.03611553333332,6.056217963791848,6.018133060532365
4,32,0,0,138.94494013333332,145.52455139999998,6.400146115317997,6.210799982354319
8,32,0,0,127.47172060000003,134.03676439999998,2.784375456556405,2.892042537736834
16,32,0,0,131.55278906666666,138.05876793333334,4.896722481359534,4.960219007037194
32,32,0,0,132.46404206666665,139.15653840000002,6.85282855308239,6.788378983251435
1,64,0,0,255.50873306666662,268.6337166,13.533879222623241,13.653328208552084
2,64,0,0,260.54113060000003,273.7851205333334,8.800085863955701,8.240326210462946
4,64,0,0,273.72643673333334,286.99578033333336,5.35420942215932,5.558193109697679
8,64,0,0,263.9208123333333,276.9095004666667,7.536709659269099,7.310348982452366
16,64,0,0,265.2478596,278.40728213333335,4.785683173539218,4.822946032027767
32,64,0,0,265.2368216666667,278.17257739999997,5.5956964939435725,5.500205533740195
