threads,processes,griddim,blocos,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,0,0,0,24.268273999999998,24.818245533333336,5.857211558220155,5.894935994313723
2,0,0,0,13.596976799999998,14.205765266666663,3.9704599258739717,4.204312226780658
4,0,0,0,7.478587933333333,8.012885133333333,1.770198743252444,1.8037322923473353
8,0,0,0,4.716036333333333,5.286615133333334,0.4248906917250687,0.6373484795460346
16,0,0,0,4.579266333333333,5.166049533333333,0.4744472652842366,0.28316759332078706
32,0,0,0,4.646064733333333,5.2202736,0.4701394597807965,0.09391393698254072
