threads,processes,griddim,blocos,duration,io_alocation
0,0,4,8,1.500968,1.626611
0,0,4,8,1.572702,1.791043
0,0,4,8,1.594672,1.723767
0,0,4,8,1.576768,1.807022
0,0,4,8,1.58917,1.804085
0,0,4,8,1.599884,1.732449
0,0,4,8,1.585283,1.800975
0,0,4,8,1.587652,1.806924
0,0,4,8,1.588643,1.800666
0,0,4,8,1.589001,1.826087
0,0,4,8,1.59647,1.826556
0,0,4,8,1.596274,1.858568
0,0,4,8,1.591286,1.824301
0,0,4,8,1.588605,1.804771
0,0,4,8,1.588077,1.807803
0,0,4,16,1.605034,1.826169
0,0,4,16,1.598877,1.813823
0,0,4,16,1.597224,1.812087
0,0,4,16,1.617746,1.864531
0,0,4,16,1.617114,1.851444
0,0,4,16,1.61437,1.844008
0,0,4,16,1.600474,1.844146
0,0,4,16,1.598436,1.80916
0,0,4,16,1.593871,1.804631
0,0,4,16,1.594709,1.813831
0,0,4,16,1.596398,1.809694
0,0,4,16,1.604781,1.82206
0,0,4,16,1.593477,1.816377
0,0,4,16,1.590125,1.826029
0,0,4,16,1.593057,1.816464
