threads,processes,griddim,blocos,duration,io_alocation
0,0,4,4,4.087362,4.212762
0,0,4,4,4.196043,4.326098
0,0,4,4,4.19163,4.414759
0,0,4,4,4.177953,4.419489
0,0,4,4,4.178173,4.448101
0,0,4,4,4.188281,4.438264
0,0,4,4,4.177835,4.387222
0,0,4,4,4.185926,4.399625
0,0,4,4,4.169344,4.380743
0,0,4,4,4.16876,4.402565
0,0,4,4,4.19317,4.454551
0,0,4,4,4.185703,4.427585
0,0,4,4,4.181048,4.416658
0,0,4,4,4.173855,4.403939
0,0,4,4,4.217735,4.471316
0,0,8,4,3.016738,3.234512
0,0,8,4,3.016151,3.241449
0,0,8,4,3.011596,3.256293
0,0,8,4,3.007914,3.231727
0,0,8,4,3.016773,3.274267
0,0,8,4,3.024199,3.271379
0,0,8,4,3.00841,3.227125
0,0,8,4,3.013189,3.240183
0,0,8,4,3.02438,3.291205
0,0,8,4,3.01732,3.250454
0,0,8,4,3.017778,3.297701
0,0,8,4,3.011977,3.263301
0,0,8,4,3.012918,3.248793
0,0,8,4,3.004934,3.252787
0,0,8,4,3.015495,3.262995
0,0,16,4,2.871735,3.123645
0,0,16,4,2.900536,3.11446
0,0,16,4,2.840161,3.057537
0,0,16,4,2.807064,3.029399
0,0,16,4,2.824207,3.040458
0,0,16,4,2.879055,3.111311
0,0,16,4,2.844046,3.058812
0,0,16,4,2.830906,3.044789
0,0,16,4,2.862935,3.072182
0,0,16,4,2.799315,3.017732
0,0,16,4,2.835241,3.058105
0,0,16,4,2.799031,3.013221
0,0,16,4,2.773037,3.044016
0,0,16,4,2.783937,2.998592
0,0,16,4,2.846084,3.060284
