threads,processes,griddim,blocos,duration,io_alocation
0,0,32,4,2.604937,2.732159
0,0,32,4,2.607088,2.72813
0,0,32,4,2.602326,2.82294
0,0,32,4,2.690295,2.921221
0,0,32,4,2.698392,2.945418
0,0,32,4,2.616993,2.864343
0,0,32,4,2.666774,2.900963
0,0,32,4,2.600459,2.845784
0,0,32,4,2.624224,2.86374
0,0,32,4,2.800599,3.047127
0,0,32,4,2.680626,2.926943
0,0,32,4,2.715929,2.949807
0,0,32,4,3.121157,3.354843
0,0,32,4,3.128229,3.366232
0,0,32,4,3.114326,3.379396
0,0,32,8,1.803127,2.052093
0,0,32,8,1.746248,1.992493
0,0,32,8,1.617038,1.843797
0,0,32,8,1.742441,1.990516
0,0,32,8,1.738964,1.999097
0,0,32,8,1.579438,1.804572
0,0,32,8,1.69295,1.953606
0,0,32,8,1.720602,1.985777
0,0,32,8,1.526493,1.753559
0,0,32,8,1.723347,1.974769
0,0,32,8,1.708467,1.953961
0,0,32,8,1.522304,1.779132
0,0,32,8,1.7235,1.98306
0,0,32,8,1.699349,1.953166
0,0,32,8,1.548916,1.819274
0,0,32,16,1.715554,1.963605
0,0,32,16,1.68985,1.927662
0,0,32,16,1.557742,1.804052
0,0,32,16,1.626693,1.857774
0,0,32,16,1.717022,1.971069
0,0,32,16,1.613159,1.883759
0,0,32,16,1.719908,1.979324
0,0,32,16,1.702293,1.965187
0,0,32,16,1.586473,1.829265
0,0,32,16,1.322623,1.545408
0,0,32,16,1.31455,1.538338
0,0,32,16,1.313997,1.529606
0,0,32,16,1.315024,1.545985
0,0,32,16,1.318992,1.54322
0,0,32,16,1.313247,1.534461
