threads,processes,griddim,blocos,duration,io_alocation
0,0,2,2,42.527869,42.666898
0,0,2,2,47.87187,48.143178
0,0,2,2,39.511995,39.753705
0,0,2,2,39.526381,39.748183
0,0,2,2,38.827859,39.048942
0,0,2,2,40.59035,40.809232
0,0,2,2,40.259869,40.498757
0,0,2,2,39.198497,39.439784
0,0,2,2,41.542405,41.793216
0,0,2,2,39.66808,39.901821
0,0,2,2,39.073295,39.310342
0,0,2,2,38.209812,38.437916
0,0,2,2,38.22419,38.448906
0,0,2,2,38.211546,38.440097
0,0,2,2,38.223064,38.446772
0,0,4,2,15.874551,16.107136
0,0,4,2,15.879215,16.009172
0,0,4,2,16.135836,16.373914
0,0,4,2,21.31469,21.543617
0,0,4,2,21.531387,21.771269
0,0,4,2,21.612667,21.863741
0,0,4,2,18.510635,18.762111
0,0,4,2,20.827427,21.102946
0,0,4,2,21.996098,22.256997
0,0,4,2,21.619569,21.870196
0,0,4,2,21.673633,21.906712
0,0,4,2,19.811545,20.068383
0,0,4,2,16.404519,16.630629
0,0,4,2,21.239724,21.482811
0,0,4,2,21.803369,22.045587
0,0,8,2,13.993008,14.208654
0,0,8,2,15.245448,15.495389
0,0,8,2,14.668369,14.899623
0,0,8,2,14.851735,15.089199
0,0,8,2,14.884615,15.141888
0,0,8,2,14.862185,15.082603
0,0,8,2,15.187472,15.442279
0,0,8,2,15.63192,15.872641
0,0,8,2,15.592284,15.828384
0,0,8,2,15.251792,15.501127
0,0,8,2,15.057043,15.296105
0,0,8,2,15.623914,15.87922
0,0,8,2,13.617942,13.875634
0,0,8,2,14.291064,14.541824
0,0,8,2,14.407777,14.627283
0,0,16,2,14.614284,14.852955
0,0,16,2,15.127986,15.372244
0,0,16,2,14.311147,14.55337
0,0,16,2,15.026475,15.27496
0,0,16,2,14.120583,14.352974
0,0,16,2,14.859587,15.09699
0,0,16,2,14.408892,14.656662
0,0,16,2,13.858845,14.112298
0,0,16,2,15.010237,15.270139
0,0,16,2,14.738886,14.967059
0,0,16,2,14.418807,14.666786
0,0,16,2,14.876237,15.121146
0,0,16,2,14.492942,14.728504
0,0,16,2,14.380594,14.633062
0,0,16,2,15.095649,15.350661
0,0,32,2,13.76787,14.001473
0,0,32,2,13.935428,14.186909
0,0,32,2,11.021861,11.25653
0,0,32,2,14.033872,14.288104
0,0,32,2,13.745998,13.99483
0,0,32,2,14.147001,14.39023
0,0,32,2,13.485708,13.706262
0,0,32,2,14.225325,14.478108
0,0,32,2,13.882714,14.106614
0,0,32,2,12.270063,12.523985
0,0,32,2,13.814141,14.042494
0,0,32,2,10.40054,10.627292
0,0,32,2,10.859238,11.082148
0,0,32,2,10.146579,10.370297
0,0,32,2,13.503131,13.737578
