threads,processes,griddim,blocos,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,0,0,0,21.638675466666665,22.259497466666666,4.1270480903669595,4.243305638623166
2,0,0,0,11.835045933333333,12.401212666666668,1.39972238579715,1.6157771157656784
4,0,0,0,6.3735388,6.856275666666666,0.7040799031778999,0.760335647069835
8,0,0,0,4.556101666666667,5.092265333333334,0.4052902796781834,0.3946268269995371
16,0,0,0,4.809840133333334,5.410488599999999,0.6159747563845276,0.6105857593457762
32,0,0,0,4.847086999999999,5.4331064,0.5611774211299436,0.6239089993654374
