threads,processes,griddim,blocos,duration,io_alocation
0,0,2,1,146.697574,146.812453
0,0,2,1,145.927875,146.149584
0,0,2,1,145.946194,146.165801
0,0,2,1,146.903534,147.023591
0,0,2,1,147.874001,148.114092
0,0,2,1,145.965628,146.194651
0,0,2,1,146.162614,146.277862
0,0,2,1,145.962485,146.193893
0,0,2,1,145.969955,146.192599
0,0,2,1,145.954988,146.18341
0,0,2,1,145.946255,146.181671
0,0,2,1,145.972232,146.183181
0,0,2,1,145.945643,146.061372
0,0,2,1,146.248215,146.364335
0,0,2,1,145.941446,146.164303
0,0,4,1,59.921009,60.033785
0,0,4,1,59.836405,60.077972
0,0,4,1,59.799679,60.028898
0,0,4,1,59.741768,59.85564
0,0,4,1,59.765587,59.991701
0,0,4,1,59.806017,60.037392
0,0,4,1,59.808154,59.920549
0,0,4,1,59.772244,60.005884
0,0,4,1,59.797148,60.032394
0,0,4,1,59.7913,60.02179
0,0,4,1,59.798877,60.011251
0,0,4,1,59.793212,60.020781
0,0,4,1,59.777666,59.903626
0,0,4,1,59.787553,60.007284
0,0,4,1,59.775902,60.003592
0,0,8,1,41.092565,41.313722
0,0,8,1,41.09889,41.315415
0,0,8,1,41.113762,41.352041
0,0,8,1,41.090071,41.322805
0,0,8,1,41.103335,41.333102
0,0,8,1,41.103023,41.328305
0,0,8,1,41.100593,41.30986
0,0,8,1,41.104085,41.332469
0,0,8,1,41.095906,41.315729
0,0,8,1,41.103797,41.342582
0,0,8,1,41.100806,41.326464
0,0,8,1,41.090039,41.310858
0,0,8,1,41.084146,41.311141
0,0,8,1,41.10004,41.330024
0,0,8,1,41.093942,41.214589
0,0,16,1,39.953047,40.169831
0,0,16,1,40.113359,40.332074
0,0,16,1,39.362243,39.582989
0,0,16,1,39.802715,40.025877
0,0,16,1,39.704297,39.933757
0,0,16,1,40.07187,40.291327
0,0,16,1,40.53284,40.764767
0,0,16,1,39.630449,39.852246
0,0,16,1,39.993805,40.220285
0,0,16,1,39.62726,39.860383
0,0,16,1,39.62759,39.845882
0,0,16,1,39.759252,39.979069
0,0,16,1,39.561184,39.795414
0,0,16,1,39.667964,39.901544
0,0,16,1,39.537361,39.764975
0,0,32,1,39.333522,39.45526
0,0,32,1,39.577813,39.797323
0,0,32,1,39.396668,39.628431
0,0,32,1,39.088665,39.31442
0,0,32,1,39.291532,39.530089
0,0,32,1,39.005812,39.231536
0,0,32,1,39.381397,39.606449
0,0,32,1,38.812845,39.036556
0,0,32,1,39.314516,39.54214
0,0,32,1,38.9873,39.218685
0,0,32,1,39.374989,39.597191
0,0,32,1,39.151097,39.370646
0,0,32,1,39.365976,39.585653
0,0,32,1,39.2617,39.495677
0,0,32,1,38.887803,39.114242
