threads,processes,griddim,blocos,duration,io_alocation
1,2,0,0,23.037514,23.881387
1,2,0,0,24.469098,25.304971
1,2,0,0,24.591028,25.429635
1,2,0,0,24.221636,25.060606
1,2,0,0,24.540055,25.377988
1,2,0,0,24.254848,25.098258
1,2,0,0,24.513395,25.351317
1,2,0,0,24.26913,25.107981
1,2,0,0,24.437965,25.275343
1,2,0,0,24.497694,25.333244
1,2,0,0,24.469585,25.308453
1,2,0,0,24.482043,25.318533
1,2,0,0,24.521119,25.363493
1,2,0,0,24.495041,25.333428
1,2,0,0,24.270675,25.108187
2,2,0,0,14.659874,15.508011
2,2,0,0,14.640675,15.480666
2,2,0,0,14.709974,15.551111
2,2,0,0,14.675854,15.517069
2,2,0,0,14.635423,15.474336
2,2,0,0,14.67253,15.515057
2,2,0,0,14.630785,15.474228
2,2,0,0,14.387214,15.227968
2,2,0,0,14.660064,15.499454
2,2,0,0,14.617263,15.452907
2,2,0,0,14.413731,15.252623
2,2,0,0,14.655136,15.496075
2,2,0,0,14.368631,15.209569
2,2,0,0,14.696926,15.533049
2,2,0,0,14.633563,15.473063
4,2,0,0,24.10731,24.946019
4,2,0,0,24.172122,25.013859
4,2,0,0,24.121548,24.958547
4,2,0,0,23.914267,24.748607
4,2,0,0,24.173145,25.011409
4,2,0,0,24.275523,25.11592
4,2,0,0,24.192083,25.033745
4,2,0,0,24.200191,25.052643
4,2,0,0,24.176471,25.016398
4,2,0,0,23.975199,24.816391
4,2,0,0,24.467178,25.309455
4,2,0,0,24.212432,25.053716
4,2,0,0,23.875423,24.719194
4,2,0,0,24.154829,24.997894
4,2,0,0,24.290242,25.129759
8,2,0,0,12.616791,13.460765
8,2,0,0,12.639065,13.477812
8,2,0,0,13.074108,13.915866
8,2,0,0,12.679153,13.519636
8,2,0,0,12.661391,13.501703
8,2,0,0,12.872369,13.711968
8,2,0,0,12.620585,13.46202
8,2,0,0,12.797151,13.636708
8,2,0,0,12.625839,13.46173
8,2,0,0,12.636738,13.476233
8,2,0,0,12.598016,13.440203
8,2,0,0,12.708555,13.553072
8,2,0,0,12.650539,13.492238
8,2,0,0,12.713988,13.556718
8,2,0,0,12.355517,13.201547
16,2,0,0,12.270437,13.114957
16,2,0,0,12.309493,13.152172
16,2,0,0,12.24715,13.085158
16,2,0,0,12.301515,13.14289
16,2,0,0,12.267186,13.10239
16,2,0,0,12.335244,13.17907
16,2,0,0,12.286191,13.128744
16,2,0,0,12.368642,13.222074
16,2,0,0,12.324432,13.167592
16,2,0,0,12.267655,13.111408
16,2,0,0,12.265871,13.105624
16,2,0,0,12.331604,13.169342
16,2,0,0,12.305309,13.145928
16,2,0,0,12.302535,13.147078
16,2,0,0,12.434658,13.28079
32,2,0,0,12.093621,12.934769
32,2,0,0,12.014761,12.85429
32,2,0,0,12.134685,12.974657
32,2,0,0,11.904146,12.748676
32,2,0,0,12.109453,12.954089
32,2,0,0,11.960397,12.799224
32,2,0,0,11.989651,12.827949
32,2,0,0,12.020586,12.862646
32,2,0,0,11.982652,12.825211
32,2,0,0,12.107506,12.961989
32,2,0,0,12.445721,13.293621
32,2,0,0,12.081685,12.924181
32,2,0,0,12.05688,12.895942
32,2,0,0,12.03627,12.874273
32,2,0,0,12.035047,12.877526
1,4,0,0,9.874763,10.760823
1,4,0,0,9.917504,10.799473
1,4,0,0,9.861482,10.743425
1,4,0,0,10.217457,11.101602
1,4,0,0,9.982479,10.863156
1,4,0,0,9.859734,10.741159
1,4,0,0,10.429824,11.317223
1,4,0,0,9.856672,10.735779
1,4,0,0,9.915003,10.79989
1,4,0,0,9.958453,10.935446
1,4,0,0,9.916993,10.795318
1,4,0,0,9.895644,10.781572
1,4,0,0,9.901865,10.787205
1,4,0,0,9.876767,10.758328
1,4,0,0,10.30874,11.188244
2,4,0,0,13.222808,14.10273
2,4,0,0,13.223873,14.107285
2,4,0,0,13.06778,13.94771
2,4,0,0,13.388192,14.272942
2,4,0,0,13.54774,14.432567
2,4,0,0,13.394595,14.279716
2,4,0,0,13.319601,14.204119
2,4,0,0,13.356121,14.242619
2,4,0,0,13.444493,14.329739
2,4,0,0,13.329468,14.212225
2,4,0,0,13.194947,14.086558
2,4,0,0,13.305932,14.198095
2,4,0,0,13.261067,14.142649
2,4,0,0,13.442175,14.3205
2,4,0,0,12.931743,13.816363
4,4,0,0,19.717144,20.608304
4,4,0,0,20.412474,21.318531
4,4,0,0,19.97836,20.867877
4,4,0,0,20.033363,20.911658
4,4,0,0,19.935128,20.824158
4,4,0,0,19.970019,20.855055
4,4,0,0,19.850002,20.73074
4,4,0,0,19.993666,20.877354
4,4,0,0,19.995015,20.879034
4,4,0,0,20.396636,21.280472
4,4,0,0,20.009072,20.890363
4,4,0,0,19.75834,20.640778
4,4,0,0,20.042755,20.932805
4,4,0,0,20.000211,20.899493
4,4,0,0,19.985436,20.865952
8,4,0,0,11.004318,11.914964
8,4,0,0,10.40143,11.284562
8,4,0,0,10.21521,11.110518
8,4,0,0,10.225626,11.116895
8,4,0,0,10.270117,11.172952
8,4,0,0,10.176688,11.035448
8,4,0,0,10.411891,11.294437
8,4,0,0,10.079781,10.963493
8,4,0,0,10.30007,11.207566
8,4,0,0,10.281896,11.17197
8,4,0,0,10.300086,11.178531
8,4,0,0,10.266296,11.149776
8,4,0,0,10.292922,11.182
8,4,0,0,10.004078,10.885764
