threads,size,mean_duration,ci_duration
1,16,0.0028859,0.00022490510113280115
1,32,0.009843000000000001,0.0002058051851198659
1,64,0.0373483,0.0002838882566081219
1,128,0.14715910000000001,0.0014991041773539302
1,256,0.5853905,0.0021522605317923576
1,512,2.3365416,0.01148436161757677
1,1024,9.343793,0.024084403366486772
1,2048,37.34712419999999,0.0717313751720118
1,4096,149.52344,1.1835341945267757
1,8192,597.0717224,0.64268077019551
2,16,0.0016292999999999998,0.00011360882446163916
2,32,0.0051351999999999995,9.732605598365381e-5
2,64,0.0189936,0.000321894091181832
2,128,0.07398099999999999,0.0003947041838023916
2,256,0.2938503,0.0014292299601984537
2,512,1.1742888,0.007361989996643934
2,1024,4.6773432999999995,0.014947680969556992
2,2048,18.6854072,0.04475802330368658
2,4096,74.7744524,0.15925066903658186
2,8192,298.83586859999997,0.1844136487816517
4,16,0.0011874000000000001,4.986093442989435e-5
4,32,0.0033653999999999997,8.799990141408618e-5
4,64,0.011457199999999999,0.00018797116450254957
4,128,0.04298300000000001,0.0013275624015297947
4,256,0.15816999999999998,0.013026382035757718
4,512,0.5909414,0.0013251488346697642
4,1024,2.3636074000000002,0.04670509173559048
4,2048,9.412001499999999,0.1012999526781668
4,4096,37.6414535,0.18037992037539666
4,8192,150.6707069,0.3994785989646344
8,16,0.0012818,8.413959363924802e-5
8,32,0.002784,0.0003321697274319595
8,64,0.008110800000000001,0.0009357789829845271
8,128,0.027235799999999998,0.0008145957443869535
8,256,0.10319189999999998,0.0012255124371752105
8,512,0.4053902,0.0026657916375557597
8,1024,1.6296554000000003,0.036378552967115466
8,2048,6.4995754,0.15134377438866717
8,4096,26.1060524,0.3219074023688108
8,8192,104.6015388,0.9564913641717191
16,16,0.0023864,0.0008116462840315492
16,32,0.0032794000000000005,0.00035688293714699595
16,64,0.0081566,0.000545023495093968
16,128,0.0276549,0.0011710691371107564
16,256,0.10367590000000002,0.0024697459500082654
16,512,0.41607140000000004,0.038593343701751125
16,1024,1.6321417,0.07414349878296762
16,2048,6.5101911999999995,0.11156652715560293
16,4096,26.145668699999998,0.3655600671424935
16,8192,104.43137329999999,0.7089769289111625
32,16,0.0041453,0.0005116196976661473
32,32,0.004987999999999999,0.0011604704482043285
32,64,0.0096942,0.0014344152572529332
32,128,0.028802699999999997,0.0038700062048092664
32,256,0.1060423,0.007709693989812506
32,512,0.4189210000000001,0.03118975338771515
32,1024,1.6508256000000003,0.10515931333179
32,2048,6.5159926,0.13852963863416706
32,4096,26.125032599999997,0.26039100810829924
32,8192,104.56165100000001,0.6160292135268445
