threads,size,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
0,16,0.0003177,0.0003723,4.86639051271291e-5,5.6829110067914236e-5
0,32,0.0039288000000000005,0.0042144,0.0020650891707451493,0.002218597679392197
0,64,0.0095423,0.0102672,0.003812078574358672,0.004220078584789098
0,128,0.025019400000000004,0.027020300000000004,0.015427752415565337,0.015892683337536736
0,256,0.0683969,0.0709353,0.018620006406104155,0.02237748025789062
0,512,0.25530139999999996,0.26345999999999997,0.012826578882238778,0.022281279214559382
0,1024,1.0129229,1.0395404000000001,0.012742451588425198,0.012681493649905907
0,2048,4.045334,4.151642100000001,0.017260738710990216,0.017561289553332325
0,4096,16.146048,16.5652923,0.019089757745985418,0.019456510075687154
0,8192,64.6427851,66.31358329999999,0.06606943253902828,0.07207990947068205
