threads,size,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,16,0.0010078,0.0010570000000000002,0.0008232045629503168,0.0008654736036285439
1,32,0.0027703,0.0028477999999999997,6.2699580009225495e-6,7.2634684093299855e-6
1,64,0.011037799999999999,0.011301700000000001,4.377625860872303e-5,6.382668769583868e-5
1,128,0.04394169999999999,0.044932,4.525530166609382e-5,4.822290465466834e-5
1,256,0.1754487,0.1793801,0.0001335169429781303,0.00013872976058190278
1,512,0.701249,0.7170267,0.0010903156616931292,0.0010566236406045983
1,1024,2.8038762999999998,2.8676657999999997,0.002501620081648383,0.006534359626325249
1,2048,11.211228199999999,11.464708100000001,0.0047205379917802884,0.007476924866861697
1,4096,44.832441800000005,45.83480719999999,0.006896372751765441,0.010092963781289592
1,8192,179.43712340000002,183.4353915,0.2725238593043404,0.2626155001334831
2,16,0.00046750000000000003,0.0005041,3.00284679743887e-5,3.63578679242884e-5
2,32,0.0015739999999999997,0.0016535999999999999,1.810570444178669e-5,1.587479007735221e-5
2,64,0.0060396,0.0063038,0.00021311529040508653,0.00021086134700845993
2,128,0.023571800000000004,0.0245833,0.0001373051152887036,0.00020108884674303575
2,256,0.0935936,0.097574,0.00033380819786218725,0.00035546257011893055
2,512,0.37380420000000003,0.3895254,0.0009706179992927762,0.0009839751803916077
2,1024,1.4934512999999998,1.5564570999999998,0.0019402022411009231,0.0018803492789915832
2,2048,5.9706309,6.2267788,0.005648489178798487,0.013150452082507829
2,4096,23.881642600000003,24.886492999999998,0.036552685394961544,0.036530515754891586
2,8192,95.48706739999999,99.489294,0.18018415934040416,0.18325408851670258
4,16,0.0006521,0.0007271,0.0003274529217799441,0.00036763508450636214
4,32,0.0017514000000000002,0.0019122,0.00016199821255529664,0.00016215780714408338
4,64,0.0031936000000000004,0.0034616999999999994,0.00041330674288663096,0.00046698030034110315
4,128,0.0120872,0.013076,7.653654302212644e-5,7.82474070567912e-5
4,256,0.0480504,0.052004400000000006,0.00031969863820652993,0.00038886145339667996
4,512,0.1913824,0.2071165,0.0004030226881730347,0.0004297038944306741
4,1024,0.7670944000000001,0.8301508999999999,0.013978027692584149,0.014215582709056486
4,2048,3.0678974000000006,3.320988,0.058944498849355376,0.06295077886094812
4,4096,12.2545579,13.2581615,0.09224573696120533,0.09093564759109267
4,8192,49.014570400000004,53.018649,0.16864928183842506,0.17122938745917846
8,16,0.0025977,0.0026700999999999995,0.00441686443818035,0.004427291093527358
8,32,0.0040008000000000005,0.0041107,0.004561133308672797,0.0045761121471125585
8,64,0.0031718999999999996,0.0034354000000000003,0.002863251569213652,0.002862140992393243
8,128,0.010444799999999999,0.0114396,0.007149838327056073,0.007154180735373003
8,256,0.033500300000000004,0.0374356,0.007372319638191377,0.007346883095909446
8,512,0.125066,0.1407807,0.00963801855105083,0.009629289771692287
8,1024,0.505291,0.5685349000000001,0.09006465443265123,0.0908859011856161
8,2048,1.9070618,2.1599299000000003,0.020843234667796157,0.021025410363774994
8,4096,7.6367400000000005,8.642104600000001,0.10444884378104692,0.1070360315077915
8,8192,30.3159653,34.3208767,0.303285926827853,0.2885621027138376
16,16,0.0014614000000000003,0.0015353,0.0014014032590482697,0.0014148059820876895
16,32,0.0020305,0.0022040000000000002,0.00014781874215854127,0.00016172606523927376
16,64,0.0033772999999999997,0.0036818999999999997,0.0017269067156740114,0.0018764660192985704
16,128,0.0090171,0.0100085,0.00116217861690113,0.0011645344577126088
16,256,0.032376300000000004,0.036302100000000004,0.00345224894871863,0.0034429030753040054
16,512,0.1218612,0.1375905,0.00527351134293061,0.005263428767764732
16,1024,0.4682868,0.5317301,0.01505207107332321,0.01568249048446581
16,2048,1.8206584,2.0746846999999997,0.04246817835459165,0.04222460410835608
16,4096,7.2981341,8.3010457,0.18628152271662646,0.18640905904623836
16,8192,28.778123800000003,32.7894822,0.2617024860927176,0.22809220694112153
32,16,0.0017747,0.0018470999999999997,0.0005679673211413175,0.000589479354594657
32,32,0.0019412,0.0020521000000000003,0.00115942234947504,0.0012397042436466672
32,64,0.0033459,0.0036262000000000004,0.0006897723964581038,0.0006840763785296363
32,128,0.008891,0.009892300000000001,0.000829269182513535,0.0008182060632709429
32,256,0.03188919999999999,0.0359488,0.0025656979458697007,0.0026887173984336855
32,512,0.11991280000000001,0.13566119999999998,0.004432948349431656,0.004466428630465291
32,1024,0.4560880000000001,0.52023,0.007053000925601342,0.010170043111247005
32,2048,1.7998013999999998,2.053174,0.015150530443368886,0.014736562509881548
32,4096,7.2381908,8.248660500000002,0.15626882787853263,0.1728819317276682
32,8192,28.476840999999997,32.4791761,0.10361751229520955,0.10181745313214881
