threads,size,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,16,0.0011324999999999998,0.0012007,0.00042940479332831546,0.00044892420267915066
1,32,0.0029346999999999997,0.0030378000000000002,0.001934635957123602,0.001999268919073503
1,64,0.0091958,0.0094556,2.1723701751262143e-5,2.3937334484487496e-5
1,128,0.03655679999999999,0.0375477,4.87143138444259e-5,4.7832299826234334e-5
1,256,0.1461235,0.15005529999999997,0.0018305313993482847,0.00182874688433122
1,512,0.5820817,0.5977937,0.00037697735295370274,0.00039701820078065183
1,1024,2.3273514000000004,2.3908402,0.0030315051342385472,0.004248435504849179
1,2048,9.306069800000001,9.560254500000001,0.02896072879147319,0.02846381881259732
1,4096,37.1877716,38.1915712,0.03834710408933665,0.039672080509464025
1,8192,149.4781996,153.5241915,1.4673563821673277,1.578877104806223
2,16,0.0009073,0.0009813,0.00032996121202347406,0.0003395071670262973
2,32,0.0024754,0.0026361,0.00038606549643522637,0.00038153710147827624
2,64,0.0048427,0.0051447,0.0002315807253925364,0.0002783415468967737
2,128,0.0185861,0.019586199999999998,0.00033926745107658085,0.00032886596191559125
2,256,0.07354469999999999,0.07747979999999999,0.0005527385725800077,0.0005469487219678152
2,512,0.2959573,0.31203770000000003,0.006358483018304149,0.0072733133775968245
2,1024,1.1674182,1.2311541999999998,0.006334489469402662,0.007108044049455243
2,2048,4.6582233,4.9126735,0.007828221300205863,0.010266681488201227
2,4096,18.8201456,19.8555142,0.1464420227609237,0.1749485447207537
2,8192,74.4210327,78.4455621,0.06521166549009912,0.12497013804743293
4,16,0.0005754,0.0006460999999999999,0.00019693248404240244,0.0002244681627115772
4,32,0.0015274999999999998,0.0016893,0.00019177141879505054,0.00020004603652381837
4,64,0.0030987999999999996,0.0034126000000000004,0.001302627003531283,0.0014664579180172727
4,128,0.0106407,0.0116525,5.9176638183210844e-5,0.00015252849904926724
4,256,0.0423771,0.04638949999999999,0.000599919006518564,0.0005592191773058817
4,512,0.1673879,0.1833952,0.0005285837737283376,0.0009038964300159399
4,1024,0.6685399000000001,0.7320888999999999,0.0014888752684358944,0.001998786489043335
4,2048,2.6695666,2.9255955000000005,0.0024783797120753372,0.0073743582549686305
4,4096,10.6812113,11.6892211,0.014905241658006177,0.013055771987503245
4,8192,42.65098630000001,46.66500119999999,0.023491817353502725,0.026269072022756915
8,16,0.0035535,0.0035900999999999997,0.006679740211322261,0.006682862800725116
8,32,0.0023394,0.0024188,0.0029820528410967728,0.0029788000643838674
8,64,0.0045713,0.0048369,0.005562945006716416,0.005563572959806794
8,128,0.010061800000000001,0.0110587,0.00467129027709761,0.004671523577384816
8,256,0.03552899999999999,0.0402836,0.01437306386050425,0.01686459056741814
8,512,0.1104468,0.1262906,0.009508711364251205,0.009509931230001621
8,1024,0.42632180000000003,0.4894455,0.02352613664543839,0.023320173481536907
8,2048,1.6835121999999998,1.9371521,0.0690550685338111,0.07095397659727436
8,4096,6.6859228,7.6947293000000005,0.3364969462002557,0.3349783661249943
8,8192,26.445470999999998,30.4577181,1.2090055037087513,1.2125548284520282
16,16,0.0007917,0.0008382999999999999,0.00032852735278647485,0.0003476605767699294
16,32,0.0015304,0.0016591000000000002,0.0002733639106148921,0.00027803528629774066
16,64,0.0033522000000000005,0.003711,0.0010402834456136353,0.001213537428988309
16,128,0.0077993,0.0087928,0.0014049887534607216,0.0014041715046626845
16,256,0.0281648,0.0321774,0.0034537140169993473,0.003502920154471758
16,512,0.105762,0.12152479999999999,0.006810367224323034,0.0068038220410929435
16,1024,0.40131680000000003,0.4644933000000001,0.015512432015676814,0.01562339885567144
16,2048,1.5689340999999999,1.8224999999999998,0.08328080410749476,0.08073618668025935
16,4096,6.200650699999999,7.207138099999999,0.16595917901513318,0.16458543284700364
16,8192,24.4040266,28.415249999999997,0.6655748437579249,0.6579872019289897
32,16,0.0017199,0.0017726999999999999,0.0016280551358886263,0.0016352250882017572
32,32,0.0018519,0.001965,0.0009290172341326914,0.0009684304266182471
32,64,0.0029375,0.0032071999999999995,0.0007584421981345125,0.0007519397228324445
32,128,0.007801799999999999,0.0087954,0.000886078886440454,0.0008953385455693408
32,256,0.03482990000000001,0.0401382,0.02106479642247975,0.02434997541430509
32,512,0.10117640000000001,0.11695150000000001,0.00405751699631191,0.004044666440360411
32,1024,0.3915207,0.4551149,0.023849977155217025,0.024907704582245782
32,2048,1.5121921,1.7670647999999995,0.025599515229711812,0.02599967512748005
32,4096,6.0524773000000005,7.060583199999999,0.09467708051029795,0.09797927895339663
32,8192,23.8889211,27.900415199999998,0.22852332928244765,0.23119531365227164
