size,f,threads,duration,io_alocation
2048,1,2,5.96684,6.219753
2048,1,2,5.97082,6.223128
2048,1,2,5.967713,6.220143
2048,1,2,5.977093,6.236114
2048,1,2,5.971245,6.225426
2048,1,2,5.969225,6.237066
2048,1,2,5.972321,6.225064
2048,1,2,5.972091,6.224499
2048,1,2,5.969282,6.221557
2048,1,2,5.969679,6.235038
4096,1,2,23.868878,24.874595
4096,1,2,23.863439,24.866726
4096,1,2,23.87923,24.882162
4096,1,2,23.879942,24.883399
4096,1,2,23.868833,24.874613
4096,1,2,23.91898,24.923264
4096,1,2,23.868333,24.875328
4096,1,2,23.887614,24.893923
4096,1,2,23.909245,24.914589
4096,1,2,23.871932,24.876331
8192,1,2,95.454987,99.465208
8192,1,2,95.459888,99.460624
8192,1,2,95.426174,99.41453
8192,1,2,95.743211,99.749276
8192,1,2,95.452105,99.456214
8192,1,2,95.458071,99.458846
8192,1,2,95.455396,99.4586
8192,1,2,95.483325,99.474614
8192,1,2,95.444008,99.459678
8192,1,2,95.493509,99.49535
16,1,4,0.000326,0.000361
16,1,4,0.000784,0.000877
16,1,4,0.000996,0.001113
16,1,4,0.000697,0.000774
16,1,4,0.000621,0.000687
16,1,4,0.000611,0.000688
16,1,4,0.000612,0.000677
16,1,4,0.000645,0.000721
16,1,4,0.00061,0.000682
16,1,4,0.000619,0.000691
32,1,4,0.001711,0.001867
32,1,4,0.001727,0.001894
32,1,4,0.001761,0.001928
32,1,4,0.001746,0.001904
32,1,4,0.001727,0.001882
32,1,4,0.001716,0.001873
32,1,4,0.001721,0.001878
32,1,4,0.001711,0.001875
32,1,4,0.001712,0.001879
32,1,4,0.001982,0.002142
64,1,4,0.003785,0.004132
64,1,4,0.003104,0.003365
64,1,4,0.003135,0.003389
64,1,4,0.00311,0.003369
64,1,4,0.00312,0.003376
64,1,4,0.003113,0.003374
64,1,4,0.003102,0.003364
64,1,4,0.003225,0.003486
64,1,4,0.00313,0.00339
64,1,4,0.003112,0.003372
128,1,4,0.012193,0.013178
128,1,4,0.012088,0.013095
128,1,4,0.012071,0.013061
128,1,4,0.012103,0.013088
128,1,4,0.012074,0.01306
128,1,4,0.012077,0.013049
128,1,4,0.012066,0.013073
128,1,4,0.012063,0.01307
128,1,4,0.012067,0.013044
128,1,4,0.01207,0.013042
256,1,4,0.048301,0.052243
256,1,4,0.047872,0.051789
256,1,4,0.048131,0.052338
256,1,4,0.04791,0.051835
256,1,4,0.048221,0.052127
256,1,4,0.048225,0.05216
256,1,4,0.048093,0.052001
256,1,4,0.047886,0.051833
256,1,4,0.047967,0.051863
256,1,4,0.047898,0.051855
512,1,4,0.191669,0.207412
512,1,4,0.19126,0.206969
512,1,4,0.191297,0.207041
512,1,4,0.19159,0.20733
512,1,4,0.191116,0.206873
512,1,4,0.191221,0.206922
512,1,4,0.191556,0.207239
512,1,4,0.19157,0.207393
512,1,4,0.19112,0.20683
512,1,4,0.191425,0.207156
1024,1,4,0.764588,0.827616
1024,1,4,0.765071,0.827991
1024,1,4,0.787324,0.850729
1024,1,4,0.763916,0.826876
1024,1,4,0.764374,0.827541
1024,1,4,0.764481,0.827584
1024,1,4,0.764559,0.82756
1024,1,4,0.765803,0.828854
1024,1,4,0.765579,0.828586
1024,1,4,0.765249,0.828172
2048,1,4,3.058713,3.310571
2048,1,4,3.05731,3.309692
2048,1,4,3.153415,3.412283
2048,1,4,3.060342,3.312529
2048,1,4,3.058678,3.310849
2048,1,4,3.05782,3.310541
2048,1,4,3.055686,3.307658
2048,1,4,3.059103,3.313743
2048,1,4,3.058764,3.310741
2048,1,4,3.059143,3.311273
4096,1,4,12.320798,13.322863
4096,1,4,12.225454,13.230314
4096,1,4,12.232077,13.23489
4096,1,4,12.225587,13.228122
4096,1,4,12.261253,13.262924
4096,1,4,12.228276,13.234375
4096,1,4,12.227695,13.235173
4096,1,4,12.235679,13.237407
4096,1,4,12.229686,13.233425
4096,1,4,12.359074,13.362122
8192,1,4,49.103853,53.109096
8192,1,4,49.074497,53.080605
8192,1,4,48.907539,52.901943
8192,1,4,49.13344,53.131155
8192,1,4,49.002561,53.019091
8192,1,4,49.000926,52.992667
8192,1,4,48.898781,52.902357
8192,1,4,48.922399,52.928106
8192,1,4,49.098917,53.107917
8192,1,4,49.002791,53.013553
16,1,8,0.002131,0.002167
16,1,8,0.003553,0.003634
16,1,8,0.007645,0.007735
16,1,8,0.003623,0.003698
16,1,8,0.001805,0.001866
16,1,8,0.000632,0.000706
16,1,8,0.004377,0.004454
16,1,8,0.000711,0.000786
16,1,8,0.000779,0.000857
16,1,8,0.000721,0.000798
32,1,8,0.001435,0.001597
32,1,8,0.004521,0.004677
32,1,8,0.004468,0.004624
32,1,8,0.005272,0.005378
32,1,8,0.002325,0.002404
32,1,8,0.002279,0.002356
32,1,8,0.006271,0.006345
32,1,8,0.002334,0.002413
32,1,8,0.00227,0.002347
32,1,8,0.008833,0.008966
64,1,8,0.004291,0.004561
64,1,8,0.002061,0.002328
64,1,8,0.005971,0.006234
64,1,8,0.002326,0.002588
64,1,8,0.002091,0.002359
64,1,8,0.002185,0.002447
64,1,8,0.002204,0.00246
64,1,8,0.002182,0.002449
64,1,8,0.005199,0.005457
64,1,8,0.003209,0.003471
