threads,size,mean_duration,mean_io_alocation,ci_duration,ci_io_alocation
1,16,0.0008147,0.0009182000000000001,0.0008338632593577117,0.0008497773834076259
1,32,0.0023717,0.0025181,0.0001991714286069498,0.00018969058262807305
1,64,0.008999499999999999,0.009319500000000001,0.0003123647407901363,0.0003068542598694048
1,128,0.0356068,0.0366714,0.0013501255605543592,0.0013061380784179495
1,256,0.14422979999999996,0.1484566,0.004952331034234292,0.0049409946295214694
1,512,0.5752959999999999,0.5933470000000001,0.023415061301178663,0.026408722835164388
1,1024,2.3082445000000003,2.3744055000000004,0.07761674130019156,0.07644720138901331
1,2048,9.074915100000002,9.3365905,0.24740286865990138,0.24903405217359292
1,4096,36.6087851,37.744460499999995,0.6959846020552641,0.7705010221197747
1,8192,119.4654536,122.97681860000003,42.812307597133675,44.18714362904098
2,16,0.00044360000000000005,0.0005300000000000001,2.5873979722235744e-5,2.54380851830042e-5
2,32,0.001258,0.0013877999999999998,1.812926424933521e-5,2.3534514040258146e-5
2,64,0.004587700000000001,0.0049114,0.00014332903441615274,0.00019338931529717753
2,128,0.017621799999999996,0.0186208,0.00028822412933147886,0.00031301935690234166
2,256,0.0700634,0.0738848,0.0009127631125471002,0.000977194403549722
2,512,0.1570104,0.16591419999999996,0.09658953726069636,0.10282889729255995
2,1024,0.8569704,0.9065908999999998,0.5179664577786721,0.5370820221774062
2,2048,4.301458900000001,4.5331351,0.7841214041794664,0.8094997466871429
2,4096,16.3863659,17.298892700000003,4.381345032909288,4.633825729814016
2,8192,72.143377,76.3061643,6.075007520004856,6.341703839573583
4,16,0.00034199999999999996,0.0004326,8.374907707617506e-5,8.542542572325875e-5
4,32,0.0008201,0.0009628,0.00010996766466153179,0.00011004662575472268
4,64,0.0027099999999999997,0.0030381,0.0001559757223274045,0.00024582260302909495
4,128,0.010028800000000001,0.011012499999999998,0.001959187694784641,0.002075957851017212
4,256,0.019966199999999996,0.0218738,0.0013586678279092208,0.0018515346327531784
4,512,0.0817389,0.0913657,0.04446760311567843,0.058287637628104835
4,1024,0.4202703,0.4684868000000001,0.267373069096268,0.3017244363904891
4,2048,2.0268112,2.2375665000000002,0.8184490710291301,0.8668431027056209
4,4096,7.131715299999999,7.916313,1.3434563135342041,1.5495577960431022
4,8192,28.4272822,31.3578676,4.370976292471122,4.670054453423219
8,16,0.0002638,0.00031709999999999996,0.00013140545809736285,0.00013636195161733676
8,32,0.0004697000000000001,0.0005492,8.821717857399176e-5,0.0001058956396961965
8,64,0.0013725999999999999,0.0015505000000000002,0.000803938918232529,0.0008011855462722449
8,128,0.004015699999999999,0.0045414999999999995,0.001083409903681684,0.0011724114451467584
8,256,0.012518699999999999,0.014327000000000001,0.000504463074054429,0.0004633317291099328
8,512,0.0546478,0.0659077,0.028998571703584452,0.04494647362752989
8,1024,0.330276,0.38039140000000005,0.1913299451231773,0.22216306165823593
8,2048,1.2147063999999999,1.4138792999999998,0.6722452193156685,0.7043991096065739
8,4096,4.9306286,5.6738342,0.2597550745998708,0.6748635437817783
8,8192,19.726502800000002,22.3855684,0.8263408725076165,0.931956246360059
16,16,0.0003935,0.00044510000000000003,0.0001841872856029367,0.00018727649287142854
16,32,0.0012125999999999999,0.0014036,0.0005493816251265296,0.0006235067763545156
16,64,0.002755,0.0032125999999999995,0.001020864222466,0.0012061588671775831
16,128,0.0044829,0.0052178,0.0034076704838323525,0.0042243124591419875
16,256,0.0126643,0.014647500000000003,0.002124119409160731,0.0030814221657035077
16,512,0.0510965,0.060500599999999995,0.02229611240506888,0.035638838128377495
16,1024,0.212379,0.25754790000000005,0.12452832327778071,0.14333790128653676
16,2048,1.1711135000000001,1.3666158999999998,0.7378646751384828,0.8118273263494854
16,4096,4.9061798,5.4838783,0.2532171641315701,0.5986055311997115
16,8192,19.5339322,22.3714365,0.972723729942183,0.8774191746488809
32,16,0.0006693000000000001,0.0007191,0.00024561519030114287,0.0002465438839999439
32,32,0.000659,0.0007285,0.0003008839404155696,0.00030015992019070243
32,64,0.0012411999999999998,0.0014001,0.00015846747810758453,0.00016459449371105948
32,128,0.0035573000000000007,0.0040673,0.00040748945226430915,0.00043088613728764426
32,256,0.0123512,0.0142124,0.0007397244156636231,0.0007784708338674106
32,512,0.0661482,0.0771624,0.0485516170516078,0.05713920271852653
32,1024,0.31133489999999997,0.3671745,0.20057268312824253,0.2228014862592176
32,2048,1.2131203999999998,1.4012939,0.6435708456637947,0.6975952950798353
32,4096,4.923864699999999,5.671325300000001,0.26299252309690296,0.6500585047946241
32,8192,19.9526637,22.363958999999998,0.6338470220359574,0.9231051804473277
